id,predicted_price
2591820310,368487.0
7974200820,817505.9
7701450110,1199310.5
9522300010,1848382.4
9510861140,717418.9
1761300310,250324.22
7732410120,751830.6
7010701383,653833.6
291310170,441225.88
4232901990,543914.75
6840701125,619914.5
3971700580,420054.88
4202400078,246256.05
6064800090,350334.12
2626119028,234246.34
3303980660,1051426.9
862000020,679699.2
2386000070,945148.2
1138000450,370151.22
1775800420,440259.12
2291401425,428967.66
2025770560,854543.0
3525069037,672209.2
9324800450,506378.75
8080400136,509785.1
8651540040,514831.1
9407001790,235953.7
1773101530,231733.98
9432900250,342867.72
1794500695,534767.6
2220069003,352854.28
923000120,459508.22
5728000060,551291.25
16000200,243724.78
1926059094,420785.4
6672900220,968593.0
3629860060,806748.2
1822069109,439736.7
6675500105,353301.44
249000180,1828634.8
226059065,442791.84
396100110,282386.06
9264450460,330413.2
7853361210,370602.97
9474700020,276548.38
421000455,243713.62
3755200220,420157.03
7960100075,411105.3
9477100490,392999.84
9138100350,633899.2
1624049275,427383.28
2770606890,466818.78
1157200189,396974.25
2770601800,589310.25
9301300805,457167.1
2325069032,1291050.6
1021079099,330452.56
7215730040,761045.7
1853200080,488589.22
3224600340,714138.9
3222049120,418497.84
2113700025,255475.52
7893207925,235045.45
3586501085,520316.88
8024200010,413067.16
7116500705,181727.58
1598600209,294171.56
7204200025,715454.56
4206901505,463978.22
2937300440,875131.7
7205000180,322122.0
8718500665,366364.28
5318101765,882102.3
4122700020,823645.06
8078700020,464424.44
3303980680,938611.6
8924100372,1244420.9
2781270210,224762.39
519000043,532357.75
3225069301,1398463.8
151000075,653036.0
2297400020,410874.84
6617500085,660943.6
104510180,212318.84
3528900060,892568.3
3345100286,512724.2
1226039130,449548.72
8712100720,725784.25
3037200010,417464.22
3626039268,421346.38
104510230,244251.6
5112800060,404208.66
6072400280,679714.75
5317100570,1151873.9
9528102993,478778.62
2919201095,492273.38
6181400920,266503.12
185000161,247821.33
8691400010,735759.06
3345700165,542962.7
6151800486,198972.84
4340000080,1221539.2
4136960010,624920.75
3634100030,303745.0
1624059224,1055814.9
2788400090,254259.72
9828200762,478250.62
7524400250,536555.1
3528000290,732325.4
5700003630,2430967.2
2720069019,283162.72
7227501170,224929.42
2397101270,551285.44
6792100090,748727.44
2770602265,505129.53
3971700937,272979.25
422049203,218523.39
3076500830,272197.78
1423400260,261218.39
9161100795,355291.22
3126049052,472976.9
5100401468,320100.84
514500235,452152.56
1423200170,191646.5
1402100070,408855.56
624110020,829627.0
2407000145,198335.72
1890000225,832519.1
1320069271,293550.8
5490700085,347377.12
263000155,530070.94
3726800201,384473.03
5153200358,323318.28
2725079018,764400.4
7165700200,265796.75
9429000170,541129.1
8718500075,410988.1
1760650950,284698.6
1068000559,1346136.6
4113800500,644234.25
4077800507,507348.44
